 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,606619_crown_c1,0.069358973,0.026542316,68949,0.003583687,15.999999975,0.082966360,0.043194456,0.002540850,0.001029364,0.056379096,0.021699308,0.072891611,0.028006003,0.088403651,0.033703143,0.156638266,0.054370602,0.069358973,0.026542316
2,606619_dorsal_d1,0.054919908,0.009485105,32399,0.001362537,2.000000000,0.123156430,0.011063464,0.000650792,0.000378684,0.048907719,0.008564042,0.056494564,0.010796774,0.071783474,0.013243648,0.075407639,0.011653445,0.054919908,0.009485105
3,606619_dorsal_d2,0.057006414,0.010906131,33671,0.001399734,2.000000000,0.112553199,0.012436202,0.000731541,0.000422862,0.050841889,0.009696319,0.058667609,0.012342815,0.073848866,0.015246836,0.080440955,0.013173028,0.057006414,0.010906131
4,606619_dorsal_d3,0.051784692,0.009325116,31684,0.001263850,2.000000000,0.114976807,0.010992215,0.000646601,0.000437872,0.046327834,0.008813864,0.053371801,0.010514847,0.067848995,0.012302119,0.070154282,0.010393009,0.051784692,0.009325116
5,606619_side_w1,0.432988674,0.103816856,60420,0.020878672,45.254833888,0.113202527,0.184436446,0.010849203,0.006083096,0.444258971,0.107732690,0.437229719,0.105717191,0.369684328,0.084341005,0.427441932,0.118659301,0.432988674,0.103816856
6,606619_side_o1,0.067981072,0.009141503,15188,0.010658520,15.999999975,0.106589822,0.099995664,0.005882098,0.003275160,0.064648474,0.010365118,0.069535032,0.009936434,0.079497176,0.009356265,0.084701510,0.008523693,0.067981072,0.009141503
7,606619_ventral_b1,0.412795727,0.041990669,32400,0.004236406,63.999999831,0.082261931,0.051498982,0.003029352,0.000767642,0.425395509,0.041423813,0.414862031,0.043225963,0.355628452,0.041818875,0.431401735,0.072959787,0.412795727,0.041990669
8,606619_ventral_b2,0.407411117,0.069509047,33124,0.010838155,45.254833888,0.122037687,0.088809902,0.005224112,0.003328352,0.418608276,0.075954731,0.409434220,0.070935320,0.351141376,0.053828392,0.447913985,0.061470960,0.407411117,0.069509047
9,606619_ventral_b3,0.403377416,0.039952248,32400,0.004796045,63.999999831,0.094631320,0.050681371,0.002981257,0.001105323,0.413626504,0.042872771,0.406523719,0.042146350,0.349549397,0.035396280,0.400598326,0.036926625,0.403377416,0.039952248
10,606619_ventral_t1,0.048182572,0.006331238,215948,0.008206939,127.999999595,0.159742697,0.051375990,0.003022117,0.002796079,0.042621582,0.007169189,0.049600546,0.007581831,0.064764464,0.009168133,0.058629577,0.007112136,0.048182572,0.006331238
11,606621_crown_c1,0.063940033,0.024473347,84340,0.003259693,127.999999595,0.088007248,0.037038911,0.002178759,0.000600474,0.052550353,0.022146357,0.067694485,0.026251233,0.079925010,0.027831458,0.134176789,0.048529273,0.063940033,0.024473347
